customer_id,region,acquisition_channel,plan_tier,tenure_months,num_orders_12m,days_since_last_order,avg_order_value,email_engagement_rate,app_logins_30d,support_tickets_12m,discount_rate,satisfaction_score,annual_margin,churned
KL100000,CH,Paid Search,Plus,32,12,71,50.26,0.302,0,3,0.273,3.8,229.19,0
KL100001,DE,Referral,Basic,10,1,184,23.69,0.084,0,0,0.409,4.1,9.0,1
KL100002,CH,Organic,Basic,9,2,281,34.24,0.218,0,0,0.173,4.3,26.02,1
KL100003,AT,Organic,Basic,10,2,196,31.84,0.283,2,0,0.34,5.0,24.2,1
KL100004,DE,Social,Basic,18,2,260,34.49,0.597,4,0,0.566,4.5,26.21,1
KL100005,Other,Social,Premium,11,4,207,65.95,0.302,2,0,0.11,4.2,100.24,0
KL100006,CH,Paid Search,Plus,3,1,211,45.88,0.676,6,2,0.413,3.3,17.43,0
KL100007,CH,Social,Basic,18,3,164,19.84,0.244,0,2,0.225,3.4,22.62,0
KL100008,DE,Social,Plus,4,6,147,45.75,0.329,0,0,0.089,3.5,104.31,0
KL100009,DE,Paid Search,Plus,20,4,183,51.73,0.577,2,0,0.321,3.0,78.63,0
KL100010,DE,Referral,Basic,9,3,191,41.2,0.524,0,0,0.617,4.8,46.97,0
KL100011,Other,Social,Basic,46,4,207,27.01,0.563,2,1,0.106,3.1,41.06,0
KL100012,AT,Social,Plus,17,3,172,56.29,0.496,2,1,0.014,4.4,64.17,0
KL100013,CH,Paid Search,Basic,40,8,134,26.69,0.585,3,0,0.621,3.7,81.14,0
KL100014,DE,Organic,Plus,3,2,235,47.56,0.686,3,0,0.377,3.7,36.15,1
KL100015,DE,Organic,Basic,5,1,278,28.5,0.299,3,0,0.159,4.0,10.83,1
KL100016,DE,Social,Basic,12,2,207,38.16,0.718,3,1,0.109,4.3,29.0,1
KL100017,DE,Social,Plus,26,8,172,43.63,0.528,0,0,0.228,5.0,132.64,0
KL100018,CH,Organic,Plus,16,7,159,37.2,0.74,2,0,0.222,4.5,98.95,0
KL100019,AT,Paid Search,Premium,15,2,202,73.32,0.713,4,0,0.632,4.6,55.72,0
KL100020,AT,Organic,Basic,16,1,205,24.04,0.49,2,0,0.216,4.6,9.14,0
KL100021,DE,Organic,Plus,24,4,176,44.51,0.292,2,1,0.188,4.7,67.66,0
KL100022,Other,Referral,Premium,4,0,239,51.46,0.33,3,0,0.851,4.7,19.55,1
